word,zipf,countable,uncountable,n_senses,first_gloss,variant_of,flag_reason,wikt_pos_list,wikt_dominant_pos,wikt_abbrev,corpus_n,corpus_dominant,corpus_noun_share,corpus_tag,corpus_name,likely_noun,name_suspect,pos_tags,lemma,pos_overlap,plural_of,verdict,scowl_verdict,scowl_size,scowl_pos,scowl_american_standard
forma,2.95,0,0,1,Synonym of form (“the component of a thing that determines its kind”).,,,noun:1,noun,False,3,NOUN,0.667,,False,True,False,,,,,,absent,,,
oe,2.95,0,0,2,A small island.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
mongering,2.95,0,1,2,"Trading or peddling (typically, of a specified commodity).",,,noun:2;verb:1,noun,False,0,,,,False,True,False,NOUN,,,,,absent,,,
boyer,2.95,0,0,1,A Flemish sloop with a castle at each end.,,,noun:1,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
jiu,2.95,0,1,1,Any Chinese alcoholic beverage,,,noun:1,noun,False,2,NOUN,1.0,,False,True,False,,,,,,absent,,,
lightsaber,2.95,0,0,2,A sword having a blade made of a powerful beam of light or energy.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
dhoni,2.95,0,0,1,"A handcrafted sailboat with a motor or lateen sails, resembling a dhow, that is used in the Maldives.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
juve,2.94,0,0,1,A child actor.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
katniss,2.94,0,1,1,"Sagittaria spp., herbaceous perennial flowering plants that grow in water.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
zayn,2.94,0,0,1,The letter ز in the Arabic script.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
deepwater,2.94,0,1,1,Brine collected in a seafloor depression (brine pool).,,,adj:1;noun:1,adj,False,0,,,,False,True,False,,,,,,absent,,,
petro,2.94,0,0,1,"A Venezuelan cryptocurrency launched in 2018, supposed to be backed by the country's oil and mineral reserves. Symbol: ₽.",,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
chopin,2.94,0,0,1,A liquid unit of measure of almost half a pint.,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
tilly,2.94,0,0,2,An extra product given to a customer at no additional charge; a lagniappe.,,,noun:2;adj:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
gove,2.94,0,0,1,A mow; a rick for hay.,,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
bevan,2.94,0,0,1,a bogan,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
saad,2.94,0,0,1,The letter ص in the Arabic script.,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
sed,2.94,0,0,1,A line fastening a fish-hook.,,,verb:2;name:1;noun:1,verb,False,6,VERB,0.0,usually verb (corpus),False,True,False,,,,,,absent,,,
butthole,2.94,0,0,3,The anus.,,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
nao,2.93,0,0,1,A Spanish or Portuguese carrack.,,,adj:1;adv:1;noun:1,adj,False,0,,,,False,True,False,,,,,,absent,,,
photoshoot,2.93,0,0,1,A session in which a photographer takes a number of photographs of a person or group of people.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
modus,2.93,0,0,3,"The arrangement of, or mode of expressing, the terms of a contract or conveyance.",,,noun:3,noun,False,4,NOUN,0.5,,False,True,False,,,,,,absent,,,
maki,2.93,0,1,3,A ring-tailed lemur (Lemur catta).,,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
edu,2.93,0,0,1,education.,,,adj:1;noun:1,adj,True,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
camino,2.93,0,0,1,The route followed on a pilgrimage through Spain.,,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
southside,2.93,0,0,1,"The southern side of a building, street, city, area, etc.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
config,2.93,0,0,1,Configuration.,,,noun:1;verb:1,noun,False,2,NOUN,1.0,,False,True,False,,,,,,absent,,,
punta,2.93,0,1,1,A Garifuna style of festive music and dance.,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
jacuzzi,2.92,0,0,1,A hot tub or whirlpool bath with underwater jets that massage the body.,,,verb:3;noun:1,verb,False,2,NOUN,0.5,,False,True,False,,,,,,absent,,,
bol,2.92,0,1,1,bolognese,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
caf,2.92,1,1,3,A café.,,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
satoshi,2.92,0,0,1,A hundred-millionth (10⁻⁸) of a bitcoin; the same as 10 nanocoins (nBTC) or 10⁻⁸ BTC.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
sarkar,2.92,0,0,5,An administrative unit used mostly in the Muslim states of South Asia.,,,noun:5,noun,False,0,,,,False,True,False,,,,,,absent,,,
rodman,2.92,0,0,1,Synonym of rodsman.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
mano,2.92,0,0,1,"A stone resembling a rolling pin, used to grind maize or other grain on a metate.",,,noun:1,noun,False,2,OTHER,0.0,,False,True,False,,,,,,absent,,,
tse,2.92,0,0,1,"The Cyrillic letter Ц, ц.",,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
langer,2.92,0,0,3,Fool; idiot; annoying or contemptible person (usually male).,,,noun:3,noun,False,4,PROPN,0.0,,False,True,False,,,,,,absent,,,
clamping,2.91,1,1,1,The act by which something is clamped.,,,noun:1;verb:1,noun,False,3,VERB,0.0,,False,True,False,NOUN;VERB,,"noun, also verb",,,absent,,,
malia,2.91,0,0,1,"A passerine bird endemic to Sulawesi, of species Malia grata.",,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
shang,2.91,0,0,1,A Chinese unit of land area equivalent to 15 mu or about one hectare.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
methylation,2.91,1,1,2,The addition of a methyl group to a molecule.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
kwan,2.91,0,0,1,A school of Korean martial arts.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
setlist,2.91,0,0,1,A list of the songs to be played by a particular band or musical act for a particular show or tour.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
ema,2.91,0,0,1,"A wooden plaque bearing a prayer or wish, left hanging at a Shinto shrine.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
boop,2.91,0,0,2,A low-pitched beeping sound.,,,noun:2;verb:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
treehouse,2.91,0,0,2,"A house, or similar structure within a tree, or several trees, built with light materials.",,,noun:2,noun,False,3,NOUN,1.0,,False,True,False,,,,,,absent,,,
crowder,2.91,0,0,2,One who crowds or pushes.,,,noun:2,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
woodhouse,2.91,0,0,1,A house or shed for storing (chopped) wood,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
starfleet,2.91,0,0,1,A fleet of starships; a space navy.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
refinancing,2.91,0,0,1,One or more loans or other borrowings that repay and replace previous financings.,,,noun:1;verb:1,noun,False,9,NOUN,1.0,,False,True,False,NOUN;VERB,,"noun, also verb",,,absent,,,
avis,2.9,0,0,1,advice; opinion; deliberation.,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
baller,2.9,0,0,6,A kitchenware utensil for cutting ball-shaped pieces of foods.,baller band,,noun:6;adj:1,noun,True,0,,,,False,True,False,,,,,,absent,,,
loa,2.9,0,0,1,"In the voodoo religion, a spirit intermediary between Bondye (the creator god) and human beings.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
shemale,2.9,0,0,3,A male-to-female transsexual or transgender person; a trans woman.,,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
dowd,2.9,0,0,2,"A dowdy person, especially a woman; a frump.",,,noun:2,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
unitarian,2.9,0,0,4,"A Christian who denies the doctrine of the Trinity, usually stressing some distinctions between God the Father and God the Son without denying the divinity of Jesus.",,,noun:4;adj:2,noun,False,8,ADJ,0.0,usually adjective (corpus),False,True,False,,,,,,absent,,,
familia,2.9,0,0,2,"A household or religious community under one head, regarded as a unit.",,,noun:2,noun,False,3,PROPN,0.333,,False,True,False,,,,,,absent,,,
hain,2.9,0,0,1,An enclosure; a park,,,verb:3;noun:1,verb,False,4,PROPN,0.0,,False,True,False,,,,,,absent,,,
habeas,2.9,0,0,1,A habeas corpus.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
bak,2.9,0,0,1,A wooden clapper used in Korean courts and rituals,,,adv:1;noun:1,adv,True,2,OTHER,0.0,,False,True,False,,,,,,absent,,,
pomona,2.89,0,0,1,A treatise on fruits.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
wasserman,2.89,0,0,1,"A mythical sea monster, part man, thought to destroy ships.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
mecha,2.89,0,0,1,"A large armoured robot on legs, typically controlled by a pilot seated inside.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
barra,2.89,0,0,2,A barrow; a hand-pushed cart of the type commonly used in markets.,,,noun:2,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
maha,2.89,0,0,1,A kind of monkey; the wanderoo.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
kryptonite,2.89,0,1,2,The one weakness of something or someone that is otherwise invulnerable.,,,noun:2;verb:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
douchebag,2.89,0,0,3,A sterile container for holding fluid used in a vaginal douche.,,,noun:3,noun,False,2,NOUN,1.0,,False,True,False,,,,,,absent,,,
jihadi,2.89,0,0,1,A jihadist.,,,adj:1;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,,,,absent,,,
nene,2.89,0,0,1,"The Hawaiian goose, Branta sandvicensis, which was designated the state bird of Hawaii in 1957.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
nerf,2.89,0,0,1,"The deterioration, weakening or worsening of a character, a weapon, a spell, etc.",,,verb:3;noun:1,verb,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
snell,2.89,0,0,1,"A short line of horsehair, gut, monofilament, etc., by which a fishhook or lure is attached to a longer (and usually heavier) line.",,,adj:3;adv:1;noun:1;verb:1,adj,False,0,,,,False,True,False,,,,,,absent,,,
wy,2.88,0,0,1,The name of the letter Y.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
baz,2.88,0,1,1,A metasyntactic variable used to stand for some unspecified entity; typically the third in a series after foo and bar.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
myron,2.88,0,1,1,chrism; myrrh,,,noun:1,noun,False,4,PROPN,0.0,,False,True,False,,,,,,absent,,,
boba,2.88,1,1,3,Synonym of tapioca pearl.,boba tea,,noun:3,noun,True,0,,,,False,True,False,,,,,,absent,,,
habib,2.88,0,0,1,mate; a term of endearment for a friend,,,noun:1,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
shiro,2.88,0,1,2,A stew of Ethiopia and Eritrea origin whose primary ingredient is powdered chickpeas or broad-bean meal.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
falk,2.88,0,0,1,The razorbill.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
nis,2.88,0,0,1,"A nix; a hobgoblin, especially one that resides in a farm house.",,,contraction:1;noun:1,contraction,True,0,,,,False,True,False,,,,,,absent,,,
pulaski,2.88,0,0,1,"A double-ended fire-fighting tool, usually long-handled, and having an ax-blade on one side and a mattock-blade on the other.",,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
asha,2.88,0,1,1,"The concept of truth and existence in Zoroastrianism, usually associated with the Amesha Spentas.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
lupe,2.88,0,0,1,The Pacific imperial pigeon (Ducula pacifica).,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
lumia,2.88,0,1,2,A certain pear-shaped citrus fruit.,,,noun:2,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
portia,2.88,0,0,1,"Thespesia populnea, a flowering plant of the mallow family, found especially in parts of India.",,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
kona,2.88,0,0,1,southwester,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
cro,2.88,0,1,2,Synonym of bro (“a male comrade or friend”).,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
aida,2.88,1,1,1,Synonym of Aida cloth.,,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
maru,2.88,0,0,3,"A Japanese ship, especially a merchant ship.",,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
dba,2.88,0,0,2,An alias of a business entity.,,,noun:2;phrase:1,noun,True,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
hander,2.87,0,0,3,One who hands over or transmits; a conveyor in succession,,,noun:3,noun,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
punisher,2.87,0,0,1,One who punishes.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
madge,2.87,0,0,2,The barn owl.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
cac,2.87,0,0,1,A white (Caucasian) person.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
wheezing,2.87,0,0,1,The quality or symptom of breathing with an audible wheeze,,,noun:1;verb:1,noun,False,3,VERB,0.0,,False,True,False,NOUN;VERB,,"noun, also verb",,,absent,,,
wer,2.87,0,0,2,A man; a male; a husband.,,,noun:2;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
reshaping,2.87,0,0,1,The process by which something is reshaped.,,,noun:1;verb:1,noun,False,2,VERB,0.0,,False,True,False,,,"verb form (-ing, morphology)",,,absent,,,
sheng,2.87,0,0,1,"A Chinese wind instrument, a free-reed mouth organ consisting of 13 or more bamboo pipes of various lengths, which are fixed at their bases in a wind chest made from a dried gourd (or, more recently, ",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
sauvignon,2.87,0,0,1,Any of several grape varieties and associated wines originally from France,,,noun:1,noun,False,7,PROPN,0.143,,False,True,False,,,,,,absent,,,
geno,2.86,0,1,1,Genocide.,,,noun:1;verb:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
soi,2.86,0,0,1,"In Thailand, a side-street branching off a major street; an alley or lane.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
koko,2.86,0,0,2,The tree Albizia lebbeck.,koku,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
sei,2.86,0,0,1,A sei whale.,,,noun:1,noun,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
broderick,2.86,0,0,1,A thorough beating,,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
cale,2.86,0,0,1,Any of a number of marine fish in the family Odacidae,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
nin,2.86,0,0,1,Affectionate name for a grandmother.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
exe,2.86,0,0,1,A Windows executable file.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
asm,2.86,0,0,1,Pseudo-acronym of assignment.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
woodside,2.86,0,0,1,The side of a wood; the land that borders a wood.,,,noun:1,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
razer,2.86,0,0,1,Someone who razes.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
urs,2.86,0,0,1,"The anniversary of the death of a Sufi saint, celebrated with music and ritual.",,,noun:1;pron:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
libre,2.86,0,0,1,"A free (not enslaved) black person in a French- or Spanish-colonized area, especially New Orleans.",,,adj:3;noun:1,adj,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
overthinking,2.85,1,1,1,The act of thinking too much about something.,,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,"verb form (-ing, morphology)",,,absent,,,
awa,2.85,0,1,2,"Kava, specifically Piper methysticum.",,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
biennale,2.85,0,0,1,A biennial celebration or exhibition,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
gul,2.85,0,0,1,Any medallionlike design on a Central or West Asian rug.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
indica,2.85,0,0,2,"Any of the indica subspecies of the rice, Oryza sativa, which (unlike the japonica or sinica subspecies) are non-sticky and long-grained.",,,noun:2,noun,False,1,VERB,0.0,,False,True,False,,,,,,absent,,,
tek,2.85,0,0,1,"A method of, or procedure for, extracting, synthesizing, freebasing, or otherwise manufacturing or preparing recreational drugs.",,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
viv,2.85,0,0,1,vivarium,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
ber,2.85,0,0,1,A fruit-bearing tree (Ziziphus mauritiana); Indian jujube.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
salesforce,2.85,0,0,1,A team of salespeople.,,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
walkie,2.85,0,0,3,A walkie-talkie.,,,noun:3,noun,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
nur,2.84,0,0,1,Pronunciation spelling of knur.,knur,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
donner,2.84,0,0,1,One who dons (something).,,,noun:1;verb:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
veritas,2.84,1,1,1,"Truth, particularly of a transcendent character.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
ure,2.84,0,1,2,"Use, practise, exercise.",,,noun:2;contraction:1;verb:1,noun,True,0,,,,False,True,False,,,,,,absent,,,
const,2.84,0,0,1,A variable whose value cannot be changed directly.,,,adj:2;noun:1,adj,False,0,,,,False,True,False,,,,,,absent,,,
grundy,2.84,0,0,3,A narrow-minded person or group that is overly concerned with censoring or criticizing personal conduct.,,,noun:3;adj:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
shitload,2.84,0,0,1,A large amount.,,,noun:1,noun,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
winkler,2.84,0,0,1,One who finds and sells winkles.,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
ssa,2.84,0,0,1,Filter-avoidance spelling of ass,,,noun:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
popeye,2.83,1,1,2,Exophthalmia.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
okada,2.83,0,0,1,A motorcycle taxi.,,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
kyu,2.83,0,0,1,"A grade or rank in various Japanese activities such as martial arts, flower arranging, and the game of go.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
tillman,2.83,0,0,1,A man who tills the earth; a husbandman.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
fac,2.83,0,0,2,"A factotum letter, or a similar kind of ornamentally bordered letter formerly used at the start of a chapter or section of a book.",,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
katana,2.83,0,0,1,"A type of Japanese longsword, having a single edge and slight curvature, historically used by samurai and ninja.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
fanart,2.83,0,1,1,Artwork created unofficially by fans of a media work and based on that work.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
ped,2.83,0,0,6,A pedestrian.,,,noun:6,noun,False,0,,,,False,True,False,,,,,,absent,,,
girlie,2.83,0,0,3,A magazine targeting an adult male audience and containing nude or seminude photographs of women.,,,noun:3;adj:2,noun,False,2,NOUN,1.0,,False,True,False,,,,,,absent,,,
rainer,2.83,0,0,1,"That which rains, or dispenses something in a shower.",,,noun:1,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
dipshit,2.83,0,0,1,"A stupid, obnoxious, or undesirable person.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
eastside,2.83,0,0,1,The east side of a district or city.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
roleplay,2.82,1,1,2,The act or practice of roleplaying; an instance of roleplaying.,,,verb:3;noun:2,verb,False,1,NOUN,1.0,,False,True,False,,,,,,absent,,,
pogo,2.82,0,0,5,A dance associated with the 1970s punk rock movement in which participants jump up and down on the spot in the manner of someone riding a pogo stick.,pogo oscillation,,verb:6;noun:5,verb,True,0,,,,False,True,False,,,,,,absent,,,
robocop,2.82,0,0,1,A cyborg police officer.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
