name,wikipedia
Agamemnon,"In Greek mythology, Agamemnon (; Greek: Ἀγαμέμνων Agamémnōn) was a king of Mycenae who commanded the Acheans during the Trojan War."
Agamidae,"Agamidae is a family of over 550 species of iguanian lizards indigenous to Africa, Asia, Australia, and a few in Southern Europe."
Agaricaceae,"The Agaricaceae are a family of basidiomycete fungi and include the genus Agaricus, as well as basidiomycetes previously classified in the families Tulostomataceae, Lepiotaceae, and Lycoperdaceae."
Agaricales,The Agaricales are an order of fungi in the division Basidiomycota.
Agaricus,"Agaricus is a genus of mushroom-forming fungi containing both edible and poisonous species, with over 400 members worldwide and possibly again as many disputed or newly-discovered species."
Agastache,Agastache () is a genus of aromatic flowering herbaceous perennial plants in the family Lamiaceae.
Agathis,"Agathis, commonly known as kauri or dammara, is a genus of evergreen coniferous trees, native to Australasia and Southeast Asia."
Agdestis,"Agdestis is a genus of flowering plants containing a single species Agdestis clematidea, a vine native to Florida, Texas, Mexico, and Central America."
Agdistis,"Agdistis (Ancient Greek: Ἄγδιστις) is a deity of Greek, Roman, and Anatolian mythology who has both male and female reproductive organs."
Agelaius,Agelaius is a genus of blackbirds in the New World family Icteridae.
Ageratina,"Ageratina, commonly known as snakeroot, is a genus of more than 330 perennials and rounded shrubs in the family Asteraceae."
Aghan,"Aghan (Persian: اغان, also Romanized as Āghān; also known as Āghūn) is a village in Pol Beh Pain Rural District, Simakan District, Jahrom County, Fars Province, Iran."
Agkistrodon,Agkistrodon is a genus of venomous pit vipers commonly known as American moccasins.
Aglaia,Aglaia is a genus of 117 species of woody dioecious trees belonging to the Mahogany family (Meliaceae).
Aglaonema,"Aglaonema is a genus of flowering plants in the arum family, Araceae."
Agnatha,"Agnatha (; from Ancient Greek  ἀ- (a-) 'without', and  γνάθος (gnáthos) 'jaws') is an infraphylum of jawless fish in the phylum Chordata, subphylum Vertebrata, consisting of both living (cyclostomes) and extinct (conodonts, anaspids, and ostracoderms) species."
Agni,"Agni (Sanskrit: अग्नि, romanized: Agni, Sanskrit pronunciation: [ˈɐgni]) is a Sanskrit word meaning fire and connotes the Vedic fire deity of Hinduism."
Agonidae,"Agonidae is a family of small, bottom-dwelling, cold-water marine fish."
Agonus,Agonus is a monospecific genus of ray-finned fish belonging to the subfamily Agoninae in the family Agonidae.
Agra,"Agra (, Hindustani: [ˈaːgraː] ) is a city on the banks of the Yamuna river in the Indian state of Uttar Pradesh, about 230 kilometres (140 mi) south-east of the national capital Delhi and 330 km west of the state capital Lucknow."
Agriculture,"Agriculture encompasses crop and livestock production, aquaculture, fisheries, and forestry for food and non-food products."
Agrigento,"Agrigento (Italian: [aɡriˈdʒɛnto] ; Sicilian: Girgenti [dʒɪɾˈdʒɛndɪ] or Giurgenti [dʒʊɾˈdʒɛndɪ]; Ancient Greek: Ἀκράγας, romanized: Akrágas; Latin: Agrigentum or Acragas; Punic: ’GRGNT; Arabic: كركنت, romanized: Kirkant, or جرجنت Jirjant) is a city on the southern coast of Sicily, Italy and capital of the province of Agrigento."
Agrippina,Agrippina is an ancient Roman cognomen and a feminine given name.
Agrobacterium,Agrobacterium is a genus of Gram-negative bacteria established by H. J. Conn that uses horizontal gene transfer to cause tumors in plants.
Agropyron,"Agropyron is a genus of Eurasian plants in the grass family), native to Europe and Asia but widely naturalized in North America.Species in the genus are commonly referred to as wheatgrass."
Agrostemma,"Agrostemma is a genus of annual plants in the family Caryophyllaceae, containing the species known as corncockles."
Agrostis,"Agrostis (bent or bentgrass) is a large and very nearly cosmopolitan genus of plants in the grass family, found in nearly all the countries in the world."
Ahab,"Ahab (; Hebrew: אַחְאָב, Modern: ʾAḥʾav, Tiberian: ʾAḥʾāḇ; Akkadian: 𒀀𒄩𒀊𒁍 Aḫâbbu; Koinē Greek: Ἀχαάβ Achaáb; Latin: Achab) was the seventh king of Israel, the son and successor of King Omri and the husband of Jezebel of Sidon, according to the Hebrew Bible."
Ahriman,"Angra Mainyu (; Avestan: 𐬀𐬢𐬭𐬀⸱𐬨𐬀𐬌𐬥𐬌𐬌𐬎 Aŋra Mainiiu) or Ahreman (Persian: اهرِمن) is the Avestan name of Zoroastrianism's hypostasis of the ""destructive/evil spirit"" and the main adversary in Zoroastrianism either of the Spenta Mainyu, the ""holy/creative spirits/mentality"", or directly of Ahura Mazda, the highest deity of Zoroastrianism."
Ahura,Ahura (Avestan: 𐬀𐬵𐬎𐬭𐬀) is an Avestan language designation for a particular class of Zoroastrian divinities.
Aidoneus,"Aidoneus (Ancient Greek: Ἀїδωνεύς) was a mythical king of the Molossians in Epirus, who is represented as the husband of Persephone."
Ailuropoda,Ailuropoda is the only extant genus in the ursid (bear) subfamily Ailuropodinae.
Airedale,"Airedale is a valley, or dale, in North Yorkshire and West Yorkshire, England."
Aizoaceae,"The Aizoaceae (), or fig-marigold family, is a large family of dicotyledonous flowering plants containing 135 genera and about 1800 species."
Ajuga,"Ajuga , also known as bugleweed, ground pine, carpet bugle, or just bugle, is a genus of flowering plants in the Ajugeae tribe of the mint family Lamiaceae."
Akeridae,"Akeridae is a small taxonomic family of sea snails, marine gastropod molluscs belonging to the superfamily Akeroidea, the sea hares."
Akhbari,"The Akhbārīs (Arabic: أخباریون, Persian: اخباریان) are a minority school of Twelver Shia Islam."
Akhenaten,"Akhenaten (pronounced ), also spelled Akhenaton or Echnaton (Ancient Egyptian: ꜣḫ-n-jtn ʾŪḫə-nə-yātəy, pronounced [ˈʔuːχəʔ nə ˈjaːtəj], meaning 'Effective for the Aten'), was an ancient Egyptian pharaoh reigning c. 1353–1336 or 1351–1334 BC, the tenth ruler of the Eighteenth Dynasty."
Alabama,"Alabama () is a state in the Southeastern region of the United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west."
Aladdin,"Aladdin ( ə-LAD-in; Arabic: علاء الدين ʻAlāʼu d-Dīn or ʻAlāʼ ad-Dīn [ʕalaːʔ adˈdiːn]; ATU 561, 'Aladdin') is a Middle Eastern folktale."
Alaska,Alaska (  ə-LAS-kə) is a non-contiguous U.S. state on the northwest extremity of North America.
Alauda,"Alauda is a genus of larks found across much of Europe, Asia and in the mountains of north Africa, and one of the species (the Raso lark) endemic to the islet of Raso in the Cape Verde Islands."
Albania,"Albania (  a(w)l-BAY-nee-ə; Albanian: Shqipëri or Shqipëria), officially the Republic of Albania (Albanian: Republika e Shqipërisë), is a country in Southeast Europe."
Albatrellus,Albatrellus is a genus of 19 species of mushroom-producing fungi in the family Albatrellaceae.
Albers,"Albers is a Dutch and Low German patronymic surname, meaning ""Albert's son""."
Alberta,Alberta ( al-BUR-tə) is one of the thirteen provinces and territories of Canada.
Albion,Albion is an alternative name for Great Britain.
Albuginaceae,Albuginaceae is a family of oomycetes.
Albugo,Albugo is a genus of plant-parasitic oomycetes.
Alcea,"Alcea is a genus of over 80 species of flowering plants in the mallow family Malvaceae, commonly known as the hollyhocks."
Alcedo,Alcedo is a genus of birds in the kingfisher subfamily Alcedininae.
Alcibiades,Alcibiades ( AL-sib-EYE-ə-deez; Greek: Ἀλκιβιάδης; c.
Alcides,"Alcides is a genus of uraniid moths from northern Australia, New Guinea, and other islands in the region."
Alcott,Alcott is a surname of English origin.
Alcyonacea,"Alcyonacea are a species of sessile colonial cnidarians that are found throughout the oceans of the world, especially in the deep sea, polar waters, tropics and subtropics."
Aldebaran,"Aldebaran (Arabic: الدَّبَران, lit. 'The Follower') is a star located in the zodiac constellation of Taurus."
Aldrovanda,"Aldrovanda  is a genus of carnivorous plants encompassing one extant species (Aldrovanda vesiculosa, the waterwheel plant) and numerous extinct taxa."
Alectis,"Alectis is a genus of fish in the family Carangidae containing three extant species, all of which are large marine fishes."
Alecto,"Alecto (Ancient Greek: Ἀληκτώ, romanized: Alēktṓ, lit. 'the implacable or unceasing anger') is one of the Erinyes (Furies) in Greek mythology."
Alectoris,"Alectoris is a genus of partridges in the family Phasianidae, closely related to Old World quail (Coturnix and relatives), snowcocks (Tetraogallus), partridge-francolins (Pternistis), bush quail (Perdicula), and sand and see-see partridges (Ammoperdix)."
Aleppo,"Aleppo ( ə-LEP-oh; Arabic: ﺣَﻠَﺐ, ALA-LC: Ḥalab, IPA: [ˈħalab]) is a city in Syria, which serves as the capital of the Aleppo Governorate, the most populous governorate of Syria."
Aletris,"Aletris, the colicroot, colicweed, crow corn, or unicorn root, is a genus of flowering plants in the family Nartheciaceae, native to North America and to eastern and southeastern Asia, especially China."
Aleurites,"Aleurites is a small genus of arborescent flowering plants in the Euphorbiaceae, first described as a genus in 1776."
Alexander,Alexander is a male given name of Greek origin.
Alexandria,"Alexandria ( AL-ig-ZA(H)N-dree-ə; Arabic: الإسكندرية; Greek: Ἀλεξάνδρεια, Coptic: Ⲣⲁⲕⲟϯ - Rakoti or ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ) is the second largest city in Egypt and the largest city on the Mediterranean coast."
Alexandrine,"Alexandrine is a name used for several distinct types of verse line with related metrical structures, most of which are ultimately derived from the classical French alexandrine."
Algeria,"Algeria, officially the People's Democratic Republic of Algeria, is a country in North Africa."
Algeripithecus,"Algeripithecus is an extinct genus of early fossil primate, weighing approximately 65 to 85 grams (2.3 to 3.0 oz)."
Algiers,"Algiers ( al-JEERZ; Arabic: الجزائر, romanized: al-Jazāʾir; French: Alger, [alʒe]) is the capital and largest city of Algeria."
Algol,"Algol , designated Beta Persei (β Persei, abbreviated Beta Per, β Per), known colloquially as the Demon Star, is a bright multiple star in the constellation of Perseus and one of the first non-nova variable stars to be discovered."
Alhambra,"The Alhambra (, Spanish: [aˈlambɾa]; Arabic: الْحَمْرَاء, romanized: al-ḥamrāʼ ) is a palace and fortress complex located in Granada, Andalusia, Spain."
Ali,"Ali ibn Abi Talib (Arabic: عَلِيّ بْن أَبِي طَالِب; c. 600–661) was the cousin and son-in-law of the Islamic prophet Muhammad, the fourth Rashidun caliph and the first Shia Imam, who ruled from 656 to 661."
Alisma,"Alisma is a genus of flowering plants in the family Alismataceae, members of which are commonly known as water-plantains."
Alismataceae,"The water-plantains (Alismataceae) are a family of flowering plants, comprising 20 genera (17 extant and 3 fossil) and 119 species."
Alismatidae,Alismatidae is a botanical name at the rank of subclass.
Allah,"Allah (; Arabic: الله‎‎, Allāh, IPA: [ʔaɫ.ɫaːh] ) is the common Arabic word for God."
Allhallowtide,"Allhallowtide, Hallowtide, Allsaintstide, or the Hallowmas season, is the Western Christian season encompassing the triduum of All Saints' Eve (Halloween), All Saints' Day (All Hallows') and All Souls' Day, as well as the International Day of Prayer for the Persecuted Church (observed on the first Sunday of November) and Remembrance Sunday (observed on the second Sunday in November) in some traditions."
Alliaria,"Alliaria is a genus of flowering plants in the family Brassicaceae.Species include:

Alliaria petiolata (M.Bieb.) Cavara & Grande
Alliaria taurica (Adam) V.I.Dorof."
Alligatoridae,"The family Alligatoridae of crocodylians includes alligators, caimans and their extinct relatives."
Allionia,"Allionia, commonly known as windmills or trailing four o'clock, is a genus of two plant species widespread in the Western Hemisphere."
Allium,"Allium is a genus of monocotyledonous flowering plants with hundreds of species, including the cultivated onion, garlic, scallion, shallot, leek, and chives."
